student_id,department,specialization,current_year,semester,gender,cgpa,semester_gpa,cgpa_trend,backlog_count,internal_marks_avg,assignment_submission_rate,lab_performance_score,project_score,academic_risk_score,attendance_percentage,classes_missed,attendance_trend,lms_login_frequency,course_completion_rate,video_watch_percentage,quiz_attempt_rate,study_hours_per_week,club_participation_score,hackathon_count,technical_event_participation,leadership_score,extracurricular_score,fee_delay_days,scholarship_status,financial_stress_score,mentor_meetings_count,mentor_feedback_score,intervention_history_count,counseling_sessions,communication_score,presentation_score,teamwork_score,coding_score,aptitude_score,problem_solving_score,database_score,web_development_score,ai_ml_score,cloud_score,cybersecurity_score,linkedin_profile_score,resume_score,github_activity_score,portfolio_score,certification_count,career_readiness_score,mock_interview_score,group_discussion_score,placement_readiness_score,placement_probability,internship_count,industry_project_count,open_source_contributions,motivation_score,stress_score,time_management_score,consistency_score,academic_risk_band,dropout_risk_band,placement_risk_band,recommended_intervention,recommended_career_path,recommended_certification,recommended_course_track
STU202600011,Information Technology,Information Security,Second Year,3,Male,7.16,7.28,Stable,2,66.95,74.2,76.91,76.06,47.03,80.8,9,Stable,15,79.68,89.39,75.92,14,50.54,1,5,47.37,52.54,2,No Scholarship,10.44,6,56.06,0,0,74.45,65.31,55.81,64.07,57.0,51.61,66.52,60.67,76.58,61.89,71.64,73.89,64.93,58.32,60.87,1,63.71,74.41,66.05,49.75,18.89,0,1,0,55.1,63.68,69.99,63.26,Medium,Medium,Critical,Routine Academic Mentoring & Growth Tracking,IT Systems Consultant,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600012,AI & ML,Machine Learning,Final Year,8,Female,8.44,8.27,Stable,2,74.73,86.42,86.5,66.68,41.91,84.11,7,Stable,11,84.35,89.02,75.16,17,51.61,1,4,42.51,58.79,8,Partial Scholarship,26.39,5,62.64,0,0,43.31,50.8,40.49,74.89,58.03,64.66,56.29,73.02,47.05,52.96,61.52,44.34,59.57,47.88,53.53,1,52.48,60.12,43.79,72.84,60.42,3,1,1,88.39,63.21,44.55,70.0,Medium,Medium,Medium,Routine Academic Mentoring & Growth Tracking,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Academic Support & Catch-Up Track
STU202600013,Information Technology,Enterprise Systems,Final Year,7,Female,7.18,6.91,Downward,0,65.44,70.64,82.22,58.67,25.84,71.9,13,Improving,12,69.8,67.12,73.97,14,73.08,0,4,60.07,48.65,0,No Scholarship,43.89,6,47.85,0,0,62.38,55.79,71.76,36.81,61.76,43.27,47.6,50.8,57.25,44.67,52.91,55.47,43.13,35.61,41.0,0,43.9,58.1,63.42,50.8,48.32,2,1,0,56.32,37.73,57.91,35.7,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,IT Systems Consultant,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600014,Computer Engineering,Software Engineering,Third Year,6,Male,9.11,9.32,Stable,0,87.88,84.87,90.21,94.41,13.12,86.52,6,Stable,23,90.56,91.97,91.72,27,49.36,2,5,48.63,44.18,0,Fully Funded,58.76,5,82.41,0,4,75.85,72.14,52.55,94.8,86.98,89.98,88.38,80.23,81.65,77.94,82.66,73.45,83.84,79.54,89.88,2,77.2,94.01,56.41,85.94,91.35,2,0,0,62.37,63.36,61.95,79.61,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Research & Innovation Track
STU202600015,Information Technology,Data Analytics,Second Year,4,Male,7.7,7.72,Downward,0,76.56,76.39,88.64,85.35,25.44,75.44,11,Declining,18,69.05,66.91,78.24,22,85.39,1,4,72.71,67.09,9,No Scholarship,44.69,6,53.85,1,1,82.97,71.56,79.19,61.76,59.05,49.6,55.94,61.76,74.53,41.26,57.74,88.13,58.17,44.95,73.02,0,66.58,94.57,83.34,63.22,31.24,2,0,0,66.51,41.92,54.85,48.25,Low,Low,High,Routine Academic Mentoring & Growth Tracking,IT Systems Consultant,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600016,AI & ML,Computer Vision,Final Year,7,Male,9.49,9.62,Stable,0,88.16,91.32,99.08,88.81,7.36,100.0,0,Declining,23,100.0,98.18,90.42,27,49.67,2,4,61.95,38.45,4,Partial Scholarship,33.62,4,84.19,0,0,62.04,59.02,57.53,85.83,87.19,72.77,75.03,69.66,100.0,74.27,71.85,75.06,67.71,63.01,75.92,2,71.19,75.47,78.52,79.84,82.64,2,0,1,73.52,36.36,84.22,95.66,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Research & Innovation Track
STU202600017,AI & ML,Machine Learning,First Year,1,Male,8.23,8.69,Downward,0,87.01,87.16,87.8,73.43,14.55,87.78,5,Stable,18,81.95,75.23,82.19,28,85.0,0,6,67.45,57.25,5,Partial Scholarship,52.3,5,73.48,0,0,75.3,82.03,87.49,82.4,75.05,82.97,54.52,63.79,77.5,66.37,63.13,68.73,64.6,39.15,59.42,3,78.75,83.23,74.02,60.07,33.16,0,2,1,60.17,69.32,65.18,57.69,Low,Low,High,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Academic Support & Catch-Up Track
STU202600018,Electrical Engineering,Renewable Energy,First Year,2,Male,9.34,9.42,Downward,0,93.08,96.69,86.0,86.85,12.1,93.96,3,Stable,27,90.74,100.0,83.96,28,70.06,6,3,60.27,56.44,22,Fully Funded,58.15,4,72.29,0,2,61.66,60.48,60.23,62.52,76.89,66.86,62.25,59.79,57.75,68.3,76.95,58.1,59.17,42.15,72.53,2,69.3,72.32,67.34,68.19,39.02,0,1,0,56.57,44.06,76.29,50.37,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Core Electrical Grid Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600019,Information Technology,Information Security,Third Year,5,Male,7.0,7.51,Downward,0,68.85,82.15,83.87,74.67,22.8,79.11,9,Stable,13,72.97,71.24,74.51,8,66.36,1,6,67.91,49.03,2,No Scholarship,23.22,6,58.4,0,0,80.14,77.14,79.74,77.41,31.74,59.43,69.63,79.22,77.84,74.47,66.73,92.71,54.78,58.8,76.82,4,87.7,91.33,74.71,62.47,58.07,1,1,0,44.99,50.06,54.61,42.1,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,Cloud Solutions Architect,Google Cloud Professional Cloud Architect,Academic Support & Catch-Up Track
STU202600020,Mechanical Engineering,CAD/CAM,Second Year,4,Male,7.93,8.0,Stable,0,89.0,85.11,87.28,84.37,17.36,87.04,6,Stable,18,86.2,74.62,84.9,19,61.74,0,4,67.02,68.14,4,No Scholarship,63.34,5,65.38,1,1,63.21,66.95,70.73,48.86,89.7,74.4,85.9,65.2,35.37,79.47,92.31,72.61,73.62,52.27,66.79,5,83.46,58.5,67.78,59.55,31.09,1,1,0,60.51,35.36,70.51,75.35,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Product Design Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600021,AI & ML,Deep Learning,Final Year,8,Female,9.6,9.59,Stable,0,92.81,97.49,100.0,96.16,8.94,94.87,2,Stable,21,86.05,91.73,97.23,26,54.75,4,4,82.78,63.82,6,Fully Funded,57.62,4,87.0,1,1,74.07,78.27,71.55,77.78,94.79,77.06,77.33,59.24,97.56,66.68,70.08,77.16,76.93,73.51,81.38,1,75.73,92.48,80.99,84.48,86.53,2,1,1,82.22,51.4,79.95,100.0,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Research & Innovation Track
STU202600022,Information Technology,Enterprise Systems,Second Year,3,Male,8.45,8.37,Stable,4,82.72,85.82,86.11,76.13,75.82,81.33,8,Stable,17,87.79,84.27,81.71,19,100.0,1,5,85.71,85.64,7,Partial Scholarship,44.09,5,62.77,0,1,88.59,91.16,94.41,77.84,65.36,69.69,62.57,72.73,51.15,52.65,67.54,87.94,60.94,45.58,61.06,4,88.23,88.08,78.17,65.04,19.37,0,1,2,89.67,100.0,52.67,67.76,High,High,Critical,Mandatory Peer Tutoring & Weekly Mentor Review,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Academic Support & Catch-Up Track
STU202600023,AI & Data Science,Data Science,Second Year,3,Male,7.78,7.51,Stable,0,64.63,72.4,71.82,90.96,25.9,83.78,7,Declining,16,76.96,69.72,73.76,11,63.94,3,2,55.72,64.58,1,No Scholarship,34.4,6,64.9,0,0,62.7,58.22,58.59,80.95,52.1,60.16,59.3,53.28,82.01,64.09,67.49,62.35,50.18,40.17,59.19,2,61.46,73.76,55.19,64.35,33.49,1,0,0,64.05,42.52,63.02,54.95,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Academic Support & Catch-Up Track
STU202600024,Mechanical Engineering,CAD/CAM,Third Year,5,Male,8.97,9.4,Upward,0,75.69,82.08,100.0,78.8,19.36,86.01,6,Stable,20,85.15,84.62,83.53,24,55.65,3,3,64.1,53.11,7,Partial Scholarship,34.23,5,79.13,1,1,54.8,58.61,62.75,66.48,83.96,82.19,82.67,44.42,55.61,79.9,69.37,55.59,58.07,60.66,54.8,4,75.24,62.55,56.93,69.22,76.78,1,3,0,71.01,61.5,73.83,70.98,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,Product Design Engineer,Project Management Professional (PMP) Baseline,Placement Fast Track
STU202600025,AI & Data Science,Data Science,Final Year,7,Male,8.12,8.09,Stable,0,78.46,84.93,74.73,70.55,19.22,80.17,9,Improving,12,73.2,79.6,80.72,16,49.1,0,2,42.48,49.77,2,Partial Scholarship,26.97,5,62.73,0,0,48.66,52.78,56.09,57.26,63.43,48.88,64.76,67.68,76.56,64.16,61.43,41.42,50.45,28.59,63.34,2,56.61,55.95,46.9,51.54,60.68,1,0,0,58.6,39.2,65.81,75.53,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,IT Systems Consultant,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600026,Mechanical Engineering,Robotics & Automation,Second Year,3,Female,9.19,9.67,Stable,0,85.43,89.84,98.09,83.44,11.66,90.45,4,Stable,13,82.98,94.02,95.22,17,52.76,1,4,54.61,55.93,1,Partial Scholarship,25.28,5,71.09,1,0,54.75,52.92,47.99,51.44,78.72,69.29,76.43,46.0,36.94,78.84,56.02,57.58,69.02,19.71,59.19,1,61.07,66.77,64.25,57.5,33.76,1,0,1,71.73,33.22,73.57,68.73,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Product Design Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600027,Computer Engineering,Full Stack Development,First Year,2,Male,8.23,8.55,Stable,0,88.3,87.12,93.41,77.98,14.24,86.35,6,Improving,16,86.15,85.16,86.66,21,66.06,1,7,64.01,73.69,1,Partial Scholarship,28.84,5,50.57,1,2,69.91,67.61,72.43,94.14,77.86,75.0,59.83,79.06,65.67,57.27,77.14,75.02,74.8,63.32,74.02,1,73.26,87.21,64.93,65.78,35.33,0,1,0,83.94,59.06,64.53,70.69,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Cybersecurity Analyst,CompTIA Security+,Academic Support & Catch-Up Track
STU202600028,Mechanical Engineering,Robotics & Automation,Final Year,7,Male,8.77,8.58,Stable,1,85.22,88.15,86.39,75.53,23.11,82.27,8,Stable,19,86.55,72.92,87.29,22,56.75,4,3,54.32,45.74,3,Partial Scholarship,30.54,5,59.11,1,0,51.13,51.83,63.61,62.91,64.72,72.33,83.01,82.47,61.13,87.08,47.77,60.45,66.85,56.16,78.07,5,87.75,56.0,44.69,65.28,58.1,1,3,1,61.01,50.93,61.74,78.75,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,Product Design Engineer,Project Management Professional (PMP) Baseline,Research & Innovation Track
STU202600029,AI & Data Science,Business Intelligence,Second Year,4,Male,8.01,8.09,Upward,0,78.04,89.88,82.44,79.59,11.22,90.5,4,Stable,17,94.9,72.51,79.17,14,55.7,3,3,37.7,60.09,2,Partial Scholarship,23.16,5,71.92,0,0,72.45,58.56,68.59,48.25,81.79,58.89,58.46,35.01,66.78,37.9,60.92,57.07,54.12,33.19,55.52,3,66.78,64.77,56.5,60.88,29.03,1,1,0,76.18,34.84,67.53,82.85,Low,Low,High,Routine Academic Mentoring & Growth Tracking,IT Systems Consultant,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600030,Civil Engineering,Transportation Engineering,First Year,2,Male,7.35,7.57,Upward,0,77.35,89.23,80.63,78.03,16.7,84.1,7,Stable,14,84.14,78.66,73.13,28,63.28,1,2,51.36,45.83,0,No Scholarship,16.74,5,61.97,1,0,74.0,64.85,63.99,44.17,71.19,63.32,79.12,50.83,30.47,65.18,55.56,60.81,57.15,41.72,56.48,1,58.23,81.37,72.96,53.06,26.9,0,0,0,58.11,16.82,52.92,75.92,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Structural & Infrastructure Planner,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600031,Mechanical Engineering,Thermal Engineering,Third Year,5,Female,9.27,9.42,Upward,0,73.61,93.18,100.0,88.54,13.03,90.08,4,Stable,18,90.85,88.7,96.35,27,49.69,4,4,51.36,58.03,1,Partial Scholarship,21.49,5,80.63,1,0,67.44,68.94,64.13,69.35,79.92,89.05,73.71,64.47,58.79,74.69,74.17,51.63,73.45,43.3,64.08,2,71.47,80.9,66.57,69.78,73.5,0,2,2,68.52,26.74,67.79,76.09,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,Product Design Engineer,Project Management Professional (PMP) Baseline,Placement Fast Track
STU202600032,Electronics & Telecommunication,IoT,First Year,1,Male,9.24,8.85,Stable,4,82.02,93.27,98.07,84.07,71.9,94.02,3,Stable,21,98.7,91.54,92.55,24,81.2,1,6,70.3,74.92,0,Partial Scholarship,30.69,4,81.58,0,0,91.33,84.44,88.47,86.52,91.69,89.08,78.65,75.89,63.6,62.96,73.47,93.66,75.97,55.58,74.97,1,76.51,89.48,85.94,74.71,22.15,0,1,0,86.12,83.26,80.58,95.78,High,Medium,High,Mandatory Peer Tutoring & Weekly Mentor Review,Core Electrical Grid Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600033,Electronics & Telecommunication,Embedded Systems,Final Year,8,Male,9.19,8.99,Stable,4,84.65,99.78,89.99,88.06,68.56,95.92,2,Stable,22,89.62,92.22,94.95,28,70.46,2,4,46.62,65.5,0,Partial Scholarship,13.44,4,76.65,0,0,73.37,73.33,76.11,78.76,77.81,76.85,58.74,65.95,63.84,62.46,69.04,64.83,73.94,55.19,67.93,4,81.14,87.24,75.12,74.09,46.19,1,0,0,79.28,66.34,81.52,85.25,High,Medium,Medium,Mandatory Peer Tutoring & Weekly Mentor Review,Core Electrical Grid Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600034,Information Technology,Data Analytics,Third Year,5,Female,8.92,8.3,Stable,2,78.32,89.56,98.2,86.21,45.52,84.49,7,Stable,16,87.32,80.49,81.69,23,62.46,1,6,62.25,63.85,13,Partial Scholarship,44.42,5,65.75,0,1,56.05,64.09,55.54,81.59,84.14,71.58,72.43,66.09,50.46,66.76,57.87,63.93,55.77,78.5,74.66,1,65.37,69.49,67.06,61.9,57.74,0,1,1,69.45,60.73,61.06,82.11,Medium,Medium,Medium,Routine Academic Mentoring & Growth Tracking,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Academic Support & Catch-Up Track
STU202600035,AI & ML,Deep Learning,Final Year,7,Female,6.51,6.74,Downward,3,64.8,77.89,66.3,61.0,76.68,69.62,14,Stable,10,72.44,59.67,69.19,7,62.07,1,3,66.67,64.74,15,No Scholarship,34.16,6,51.44,0,0,83.1,76.27,82.14,55.29,39.77,40.37,57.62,52.27,71.55,61.42,65.74,87.49,56.48,42.15,51.54,2,69.21,74.51,82.02,52.18,25.55,1,1,0,36.96,100.0,39.65,30.92,High,High,High,Mandatory Peer Tutoring & Weekly Mentor Review,IT Systems Consultant,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600036,AI & ML,Machine Learning,Second Year,3,Female,9.49,9.84,Downward,4,89.88,100.0,83.24,82.27,66.59,95.25,2,Stable,22,100.0,95.88,98.46,30,52.15,3,4,68.4,60.6,2,Partial Scholarship,46.54,4,88.79,0,0,71.87,75.21,67.2,96.25,79.91,85.22,74.59,79.25,85.58,72.05,71.63,71.57,71.13,59.24,78.24,5,90.27,94.41,73.82,75.81,25.71,0,0,0,71.91,85.43,78.89,76.51,High,Medium,High,Mandatory Peer Tutoring & Weekly Mentor Review,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Research & Innovation Track
STU202600037,AI & Data Science,Business Intelligence,Final Year,8,Male,6.48,6.43,Stable,0,67.77,74.04,53.2,68.36,23.41,78.22,10,Improving,9,69.81,45.29,57.18,12,41.39,2,3,37.86,47.23,7,No Scholarship,68.53,6,47.59,1,4,64.68,64.75,65.42,70.27,44.41,45.24,52.56,62.0,71.16,53.62,61.17,68.52,61.28,63.68,59.55,1,61.01,69.38,60.78,56.02,49.65,1,0,0,40.09,66.19,55.34,57.9,Low,Medium,Medium,Routine Academic Mentoring & Growth Tracking,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Academic Support & Catch-Up Track
STU202600038,AI & ML,Machine Learning,First Year,1,Male,9.08,8.96,Downward,0,77.96,93.94,85.27,81.85,12.03,93.84,3,Improving,18,100.0,89.74,89.67,17,100.0,1,6,100.0,90.31,4,Fully Funded,66.55,5,74.72,0,2,100.0,96.38,84.04,81.87,89.01,84.04,57.86,52.14,81.85,57.08,85.53,100.0,71.67,26.08,59.88,4,97.97,93.28,96.4,73.83,39.31,0,3,0,61.43,29.43,84.19,65.76,Low,Low,High,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Academic Support & Catch-Up Track
STU202600039,Mechanical Engineering,Robotics & Automation,First Year,1,Female,9.22,9.01,Upward,0,79.62,95.47,89.63,71.46,10.3,96.55,2,Declining,19,96.51,89.08,86.29,30,77.06,3,3,87.15,56.12,3,Partial Scholarship,39.38,4,88.88,0,0,77.84,78.88,78.25,69.5,96.32,83.83,74.29,53.2,56.53,72.87,72.78,72.71,70.85,46.54,70.94,3,78.79,70.23,82.46,69.61,38.3,0,1,1,70.1,56.98,86.96,79.17,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Product Design Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202600040,Computer Engineering,Full Stack Development,First Year,2,Male,8.4,8.31,Downward,0,82.95,89.87,94.62,85.24,13.94,90.73,4,Declining,19,89.86,84.59,87.78,23,53.09,1,4,64.2,46.49,0,Partial Scholarship,34.85,5,74.81,0,0,49.93,55.73,48.1,90.6,80.32,79.12,59.05,68.71,56.33,73.4,96.68,47.05,66.45,51.88,76.31,0,58.15,69.18,67.94,64.29,31.69,0,0,1,75.24,43.42,63.68,63.41,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Cybersecurity Analyst,CompTIA Security+,Academic Support & Catch-Up Track
STU202600041,AI & Data Science,Business Intelligence,Second Year,3,Male,9.33,9.2,Stable,0,91.86,89.75,91.15,90.73,9.64,97.23,1,Stable,20,88.47,82.42,86.37,23,38.51,5,6,58.48,57.21,11,Partial Scholarship,40.58,5,65.73,0,0,62.82,64.02,59.98,91.33,80.32,80.05,82.68,86.76,96.93,100.0,93.78,67.95,70.87,47.46,81.19,2,76.12,80.83,61.11,79.58,40.79,1,1,0,69.99,35.51,73.04,85.84,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Research & Innovation Track
STU202600042,AI & Data Science,Business Intelligence,First Year,2,Male,8.43,8.52,Stable,0,83.79,90.31,81.74,76.58,8.67,87.92,5,Stable,21,92.05,96.72,86.46,15,94.12,3,4,70.45,60.8,0,Partial Scholarship,11.04,5,70.72,1,0,94.3,96.63,89.17,40.39,70.68,51.07,59.57,55.55,65.6,56.0,65.52,100.0,74.97,33.02,63.09,1,75.08,84.3,88.36,57.98,35.36,0,0,0,65.53,28.06,67.83,68.9,Low,Low,High,Routine Academic Mentoring & Growth Tracking,IT Systems Consultant,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
